id,name,address,contact_phone,contact_name
1,Goodrx,"123 Main St, San Francisco, CA",123-456-7890,Holly Jolly
2,PHARMASEE,"456 Elm St, New York, NY",234-567-8901,Faker Maker
3,DRUGXO,"789 Maple St, Los Angeles, CA",345-678-9012,Silly Putty
4,Pharmachoice,"101 Pine St, Chicago, IL",456-789-0123,Connie Honey
5,Castox,"234 Oak St, Houston, TX",567-890-1234,Laxmi Kant Sheth
6,Doktera,"567 Cedar St, Philadelphia, PA",678-901-2345,I.P. Green
7,Lipdrugz,"890 Birch St, Phoenix, AZ",789-012-3456,Boris Kotchakoff
8,Nurfarma,"123 Fir St, San Antonio, TX",890-123-4567,Wu Liu
9,Munimed,"456 Redwood St, San Diego, CA",901-234-5678,Kim Park
10,Arkmed,"789 Sequoia St, Dallas, TX",012-345-6789,James Bond
